UN_AEFI11,EC_FAMB11B,EC_XPCM11,EC_BBFI11B,DR_MFII11,SH_FIGS11
0.007362784471218,0.006578973209979,0.009150633505397,0.009012479375212,0.011006585136406,0.011793565430696
0.00765391014975,0.006221799337674,0.009076099604375,0.009093830321134,0.011090047393365,0.01187930624851
0.007958477508651,0.006774477167797,0.009181871689229,0.008607799882217,0.010173913043478,0.012437810945269
0.007933770265609,0.007588218396947,0.00876404494382,0.008506653131566,0.010025706940874,0.012316484382693
0.007872398685652,0.008138589607234,0.008803611738149,0.008268929787547,0.009803100125681,0.010752688172039
0.010465901417961,0.008373292751157,0.008958566629339,0.009356320043308,0.009359251259899,0.010366131774263
0.00830162573504,0.007601694291713,0.008661854525264,0.008723212010314,0.010173913043478,0.01034040617115
0.007791701837543,0.007977442809653,0.007840772014475,0.008753663978187,0.009709543568465,0.009930092151251
0.007556675062972,0.009010577592011,0.007924413288632,0.008286761997219,0.008904109589041,0.009178690751548
0.007361963190184,0.010204457576852,0.00792280345353,0.007904154450195,0.008586525759577,0.009058955683585
